author,episode_number,episode_title,quote,quote_order,season
Joey,2,The Sonogram At The End,(pause)....Are we still talking about sex?,9,1
Ross,2,The Sonogram At The End,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",11,1
Marsha,2,The Sonogram At The End,"Well, she has issues.",12,1
Ross,2,The Sonogram At The End,Does she.,13,1
Marsha,2,The Sonogram At The End,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",14,1
Ross,2,The Sonogram At The End,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",15,1
Marsha,2,The Sonogram At The End,"Speaking of issues, isn't that your ex-wife?",16,1
Ross,2,The Sonogram At The End,(trying to ignore her) No. No.,17,1
Marsha,2,The Sonogram At The End,"Yes, it is. Carol! Hi!",18,1
Ross,2,The Sonogram At The End,"Okay, okay, yes, it is. (waves) How about I'll, uh, catch up with you in the Ice Age.",19,1
Ross,2,The Sonogram At The End,Hi.,20,1
Carol,2,The Sonogram At The End,So.,21,1
Ross,2,The Sonogram At The End,"You look great. I, uh... I hate that.",22,1
Carol,2,The Sonogram At The End,Sorry. You look good too.,23,1
Ross,2,The Sonogram At The End,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",24,1
Carol,2,The Sonogram At The End,A lesbian?,25,1
Ross,2,The Sonogram At The End,"Well... you never know. How's, um.. how's the family?",26,1
Carol,2,The Sonogram At The End,"Marty's still totally paranoid. Oh, and, uh-",27,1
Ross,2,The Sonogram At The End,"Why- why are you here, Carol?",28,1
Carol,2,The Sonogram At The End,I'm pregnant.,29,1
Ross,2,The Sonogram At The End,Pregnant?!,30,1
Chandler,2,The Sonogram At The End,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",31,1
Phoebe,2,The Sonogram At The End,...Then I've already seen this one! (Turns off the TV.),32,1
Monica,2,The Sonogram At The End,(taking a drink from Joey) Are you through with that?,33,1
Joey,2,The Sonogram At The End,"Yeah, sorry, the swallowing slowed me down.",34,1
Monica,2,The Sonogram At The End,Whose little ball of paper is this?!,35,1
Chandler,2,The Sonogram At The End,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... (sees that Monica is glaring at him) ...now I wish I was dead.",36,1
Phoebe,2,The Sonogram At The End,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- (Monica glares at her.) -but, it's fine!",37,1
Monica,2,The Sonogram At The End,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",38,1
Chandler,2,The Sonogram At The End,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",39,1
Phoebe,2,The Sonogram At The End,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",40,1
Joey,2,The Sonogram At The End,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",41,1
Monica,2,The Sonogram At The End,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.",42,1
Chandler,2,The Sonogram At The End,"(looking out the window) Ew, ew, ew, ew ew ew ew ew!",43,1
Monica,2,The Sonogram At The End,What?,44,1
Chandler,2,The Sonogram At The End,Ugly Naked Guy got a Thighmaster!,45,1
All,2,The Sonogram At The End,Eeaagh!,46,1
Rachel,2,The Sonogram At The End,Has anybody seen my engagement ring?,47,1
Phoebe,2,The Sonogram At The End,"Yeah, it's beautiful.",48,1
Rachel,2,The Sonogram At The End,"Oh God, oh God, oh God oh God oh God oh God.... (Starts to look under the couch cushions.)",49,1
Phoebe,2,The Sonogram At The End,"No, look, don't touch that!",50,1
Rachel,2,The Sonogram At The End,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",51,1
Monica,2,The Sonogram At The End,"Easy Rach, we'll find it. (To all) Won't we!",52,1
Chandler and Joey,2,The Sonogram At The End,Oh! Yeah!,53,1
Joey,2,The Sonogram At The End,"Alright, when'd'ya have it on last?",54,1
Phoebe,2,The Sonogram At The End,Doy! Probably right before she lost it!,55,1
Chandler,2,The Sonogram At The End,You don't get a lot of 'doy' these days...,56,1
Rachel,2,The Sonogram At The End,"I know I had it this morning, and I know I had it when I was in the kitchen with...",57,1
Chandler,2,The Sonogram At The End,...Dinah?,58,1
Rachel,2,The Sonogram At The End,"(looks at the lasagne and realizes something) Ohhhhh, don't be mad...",59,1
Monica,2,The Sonogram At The End,You didn't.,60,1
Rachel,2,The Sonogram At The End,"Oh, I am sorry...",61,1
Monica,2,The Sonogram At The End,I gave you one job! (Starts to examin the lasagne through the bottom of the glass pan.),62,1
Rachel,2,The Sonogram At The End,"Oh, but look how straight those noodles are!",63,1
Chandler,2,The Sonogram At The End,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",64,1
Monica,2,The Sonogram At The End,(puts down the lasagne) I just... can't do it.,65,1
Chandler,2,The Sonogram At The End,Boys? We're going in.,66,1
Ross,2,The Sonogram At The End,(standing outside the door).....Hi.,67,1
Monica,2,The Sonogram At The End,Wow. That is not a happy hi.,68,1
Ross,2,The Sonogram At The End,Carol's pregnant.,69,1
Phoebe,2,The Sonogram At The End,(while everyone else is stunned) Ooh! I found it!,70,1
Monica,2,The Sonogram At The End,W-w-wh-... wha-... w-w-w-...,71,1
Ross,2,The Sonogram At The End,"Yeah. Do that for another two hours, you might be where I am right about now. (He enters.)",72,1
Chandler,2,The Sonogram At The End,"Kinda puts that whole pillow thing in perspective, huh, Mon?",73,1
Rachel,2,The Sonogram At The End,"Well now, how-how do you fit into this whole thing?",74,1
Ross,2,The Sonogram At The End,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.",75,1
Phoebe,2,The Sonogram At The End,She is so great! I miss her.,76,1
Monica,2,The Sonogram At The End,What does she mean by 'involved'?,77,1
Chandler,2,The Sonogram At The End,"I mean presumably, the biggest part of your job is done.",78,1
Ross,2,The Sonogram At The End,"Anyway, they want me to go down to this- sonogram thing with them tomorrow.",79,1
Rachel,2,The Sonogram At The End,So what are you gonna do?,80,1
Ross,2,The Sonogram At The End,"I have no idea. No matter what I do, though, I'm still gonna be a father.",81,1
Joey,2,The Sonogram At The End,".....Well, this is still ruined, right?",82,1
Mrs. Geller,2,The Sonogram At The End,"Oh, Martha Ludwin's daughter is gonna call you. (Tastes a snack) Mmm! What's that curry taste?",83,1
Monica,2,The Sonogram At The End,Curry.,84,1
Mrs. Geller,2,The Sonogram At The End,Mmmm!,85,1
Ross,2,The Sonogram At The End,"I- I think they're great! I, I really do.",86,1
Mr. Geller,2,The Sonogram At The End,"(To Ross) Do you remember the Ludwins? The big one had a thing for you, didn't she?",87,1
Mrs. Geller,2,The Sonogram At The End,They all had a thing for him.,88,1
Ross,2,The Sonogram At The End,"Aw, Mom...",89,1
Monica,2,The Sonogram At The End,"I'm sorry, why is this girl going to call me?",90,1
Mrs. Geller,2,The Sonogram At The End,"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-",91,1
Monica,2,The Sonogram At The End,"No Mom, I don't have a restaurant, I work in a restaurant.",92,1
Mrs. Geller,2,The Sonogram At The End,"Well, they don't have to know that... (She starts to fluff the same pillow Monica fluffed multiple times earlier.)",93,1
Monica,2,The Sonogram At The End,"Ross, could you come and help me with the spaghetti, please?",94,1
Ross,2,The Sonogram At The End,Yeah. (They go to the kitchen.),95,1
Mrs. Geller,2,The Sonogram At The End,"Oh, we're having spaghetti! That's.... easy.",96,1
Monica,2,The Sonogram At The End,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.",97,1
Mrs. Geller,2,The Sonogram At The End,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",98,1
Mr. Geller,2,The Sonogram At The End,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,99,1
Mrs. Geller,2,The Sonogram At The End,"Well, at least she had the chance to leave a man at the altar...",100,1
Monica,2,The Sonogram At The End,What's that supposed to mean?,101,1
Mrs. Geller,2,The Sonogram At The End,Nothing! It's an expression.,102,1
Monica,2,The Sonogram At The End,No it's not.,103,1
Mr. Geller,2,The Sonogram At The End,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",104,1
Mr. Geller,2,The Sonogram At The End,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer.",105,1
Mr. Geller,2,The Sonogram At The End,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.",106,1
Monica,2,The Sonogram At The End,"(trying desperately to change the subject) So, Ross, what's going on with you? Any stories? (Digs her elbow into his hand.) No news, no little anecdotes to share with the folks?",107,1
Ross,2,The Sonogram At The End,"(pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.",108,1
Mrs. Geller,2,The Sonogram At The End,(To Monica) And you knew about this?!,109,1
Joey,2,The Sonogram At The End,"Your folks are really that bad, huh?",111,1
Ross,2,The Sonogram At The End,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.",112,1
Monica,2,The Sonogram At The End,"Boy, I know they say you can't change your parents,... boy, if you could- (To Ross) -I'd want yours.",113,1
Ross,2,The Sonogram At The End,Must pee. (Goes to pee.),114,1
Phoebe,2,The Sonogram At The End,"Y'know, it's even worse when you're twins.",115,1
Rachel,2,The Sonogram At The End,You're twins?,116,1
Phoebe,2,The Sonogram At The End,"Yeah. We don't speak. She's like this high-powered, driven career type.",117,1
Chandler,2,The Sonogram At The End,What does she do?,118,1
Phoebe,2,The Sonogram At The End,She's a waitress.,119,1
Rachel,2,The Sonogram At The End,"All right, you guys, I kinda gotta clean up now. (They all start to leave.)",120,1
Monica,2,The Sonogram At The End,"Chandler, you're an only child, right? You don't have any of this.",121,1
Chandler,2,The Sonogram At The End,"Well, no, although I did have an imaginary friend, who... my parents actually preferred.",122,1
Rachel,2,The Sonogram At The End,"The lights, please..",123,1
Ross,2,The Sonogram At The End,...How long was I in there?,124,1
Rachel,2,The Sonogram At The End,I'm just cleaning up.,125,1
Ross,2,The Sonogram At The End,D'ya.. uh.. d'ya need any help?,126,1
Rachel,2,The Sonogram At The End,"Uh.. okay, sure! Thanks! (She hands him the broom and sits down.)",127,1
Ross,2,The Sonogram At The End,"Anyway.. um.. (Starts to sweep.) So, you- uh- you nervous about Barry tomorrow?",128,1
Rachel,2,The Sonogram At The End,Oh.. a little..,129,1
Ross,2,The Sonogram At The End,Mm-hmm..,130,1
Rachel,2,The Sonogram At The End,A lot.,131,1
Ross,2,The Sonogram At The End,Mm.,132,1
Rachel,2,The Sonogram At The End,"So, got any advice? Y'know, as someone who's recently been- dumped?",133,1
Ross,2,The Sonogram At The End,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...",134,1
Rachel,2,The Sonogram At The End,"Oh, you've got Carol tomorrow.. When did it get so complicated?",135,1
Ross,2,The Sonogram At The End,Got me.,136,1
Rachel,2,The Sonogram At The End,Remember when we were in high school together?,137,1
Ross,2,The Sonogram At The End,Yeah.,138,1
Rachel,2,The Sonogram At The End,"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? (Ross gazes at her.) ..Ross?",139,1
Ross,2,The Sonogram At The End,"Yes, yes!",140,1
Rachel,2,The Sonogram At The End,"Oh! Man, I never thought I'd be here.. (She leans back onto his hand.)",141,1
Ross,2,The Sonogram At The End,Me either... (He pulls up a stool so that he doesn't have to move his hand.),142,1
Ross,2,The Sonogram At The End,"(entering) Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",143,1
Susan,2,The Sonogram At The End,Hi.,144,1
Carol,2,The Sonogram At The End,"Ross, you remember Susan.",145,1
Ross,2,The Sonogram At The End,How could I forget?,146,1
Susan,2,The Sonogram At The End,Ross.,147,1
Ross,2,The Sonogram At The End,"(they shake hands) Hello, Susan. (To Carol) Good shake. Good shake. So, uh, we're just waiting for...?",148,1
Carol,2,The Sonogram At The End,Dr. Oberman.,149,1
Ross,2,The Sonogram At The End,..Dr. Oberman. Okay. And is he-,150,1
Susan,2,The Sonogram At The End,She.,151,1
Ross,2,The Sonogram At The End,"-she, of course, she- uh- familiar with our.. special situation?",152,1
Carol,2,The Sonogram At The End,"Yes, and she's very supportive.",153,1
Ross,2,The Sonogram At The End,"Okay, that's great. (Susan gives her drink to Carol.) No, I'm- Oh.",154,1
Carol,2,The Sonogram At The End,Thanks.,155,1
Ross,2,The Sonogram At The End,"(picks up a surgical instrament and mimes a duck with it) Quack, quack..",156,1
Carol,2,The Sonogram At The End,Ross? That opens my cervix. (He drops it in horror.),157,1
Rachel,2,The Sonogram At The End,Barry?,158,1
Barry,2,The Sonogram At The End,C'mon in.,159,1
Rachel,2,The Sonogram At The End,(hesitates) Are you sure?,160,1
Barry,2,The Sonogram At The End,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",161,1
Robbie,2,The Sonogram At The End,Huh?!,162,1
Barry,2,The Sonogram At The End,"So, how ya doin?",163,1
Rachel,2,The Sonogram At The End,I'm- uh- I'm okay... You look great!,164,1
Barry,2,The Sonogram At The End,"Yeah, well..",165,1
Bernice,2,The Sonogram At The End,"(over intercom) Dr. Farber, Jason Greenstein's gagging.",166,1
Barry,2,The Sonogram At The End,(answering the intercom) Be right there. (To Robbie and Rachel) Be back in a sec.,167,1
Rachel,2,The Sonogram At The End,I dumped him.,168,1
Robbie,2,The Sonogram At The End,Okay.,169,1
Ross,2,The Sonogram At The End,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",170,1
Carol,2,The Sonogram At The End,Give me a 'for instance'.,171,1
Ross,2,The Sonogram At The End,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",172,1
Carol,2,The Sonogram At The End,Marlon-,173,1
Ross,2,The Sonogram At The End,Marlon?!,174,1
Carol,2,The Sonogram At The End,"-if it's a boy, Minnie if it's a girl.",175,1
Ross,2,The Sonogram At The End,...As in Mouse?,176,1
Carol,2,The Sonogram At The End,As in my grandmother.,177,1
Ross,2,The Sonogram At The End,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",178,1
Carol,2,The Sonogram At The End,Julia..,179,1
Susan,2,The Sonogram At The End,We agreed on Minnie.,180,1
Ross,2,The Sonogram At The End,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",181,1
Barry,2,The Sonogram At The End,Sorry about that. So. What have you been up to?,182,1
Rachel,2,The Sonogram At The End,"Oh, not much. I-I got a job.",183,1
Barry,2,The Sonogram At The End,"Oh, that's great.",184,1
Rachel,2,The Sonogram At The End,Why are- why are you so tanned?,185,1
Barry,2,The Sonogram At The End,"Oh, I, uh- I went to Aruba.",186,1
Rachel,2,The Sonogram At The End,Oh no. You went on our honeymoon alone?,187,1
Barry,2,The Sonogram At The End,"No. I went with, uh.. Now, this may hurt.",188,1
Robbie,2,The Sonogram At The End,Me?!,189,1
Barry,2,The Sonogram At The End,No! (To Rachel) I went with Mindy.,190,1
Rachel,2,The Sonogram At The End,"Mindy?! My maid of honour, Mindy?!",191,1
Barry,2,The Sonogram At The End,"Yeah, well, uh, we're kind of a thing now.",192,1
Rachel,2,The Sonogram At The End,"Oh! Well, um.. (Grabs his forehand) You've got plugs!",193,1
Barry,2,The Sonogram At The End,Careful! They haven't quite taken yet.,194,1
Rachel,2,The Sonogram At The End,And you've got lenses! But you hate sticking your finger in your eye!,195,1
Barry,2,The Sonogram At The End,"Not for her. Listen, I really wanted to thank you.",196,1
Rachel,2,The Sonogram At The End,Okay..,197,1
Barry,2,The Sonogram At The End,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",198,1
Rachel,2,The Sonogram At The End,Wow.,199,1
Barry,2,The Sonogram At The End,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",200,1
Rachel,2,The Sonogram At The End,What?,201,1
