season,episode,writter,rol
6,25,Scott Silveri,Writer
6,25,Andrew Reich,Writer
6,25,Ted Cohen,Writer
7,2,Andrew Reich,Writer
7,2,Ted Cohen,Writer
7,3,Sherry Bilsing,Writer
7,3,Ellen Plummer,Writer
7,4,Brian Boyle,Writer
7,6,Brian Buckner,Writer
7,6,Sebastian Jones,Writer
7,7,Scott Silveri,Writer
7,8,Patty Lin,Writer
7,9,Wil Calhoun,Writer
7,10,Gregory S. Malins,Writer
7,11,Shana Goldberg-Meehan,Writer
7,12,Zachary Rosenblatt,Writer
7,19,Andrew Reich,Writer
7,19,Ted Cohen,Writer
7,20,Scott Silveri,Writer
7,20,Shana Goldberg-Meehan,Writer
7,21,Doty Abrams,Writer
7,23,Gregory S. Malins,Writer
7,23,Marta Kauffman,Writer
7,23,David Crane,Writer
7,24,Gregory S. Malins,Writer
7,24,Marta Kauffman,Writer
7,24,David Crane,Writer
8,1,David Crane,Writer
8,1,Marta Kauffman,Writer
8,2,Dana Klein Borkow,Writer
8,3,Sherry Bilsing,Writer
8,3,Ellen Plummer,Writer
8,4,Scott Silveri,Writer
8,5,Brian Buckner,Writer
8,5,Sebastian Jones,Writer
8,6,Mark Kunerth,Writer
8,7,R. Lee Fleming Jr.,Writer
8,8,Andrew Reich,Writer
8,8,Ted Cohen,Writer
8,9,Shana Goldberg-Meehan,Writer
8,11,Robert Carlock,Writer
8,12,Sherry Bilsing-Graham,Writer
8,12,Ellen Plummer,Writer
8,13,Vanessa Mc,Writer
8,13,Carthy,Writer
8,14,Brian Buckner,Writer
8,14,Sebastian Jones,Writer
8,15,Dana Klein Borkow,Writer
8,16,Andrew Reich,Writer
8,16,Ted Cohen,Writer
8,19,Doty Abrams,Writer
8,20,Sherry Bilsing-Graham,Writer
8,20,Ellen Plummer,Writer
8,22,Shana Goldberg-Meehan,Writer
8,23,Scott Silveri,Writer
8,23,Marta Kauffman,Writer
8,23,David Crane,Writer
8,24,Scott Silveri,Writer
8,24,Marta Kauffman,Writer
8,24,David Crane,Writer
9,1,Sherry Bilsing-Graham,Writer
9,1,Ellen Plummer,Writer
9,2,Dana Klein Borkow,Writer
9,3,Brian Buckner,Writer
9,3,Sebastian Jones,Writer
9,4,Andrew Reich,Writer
9,4,Ted Cohen,Writer
9,5,Scott Silveri,Writer
9,6,David Crane,Writer
9,6,Marta Kauffman,Writer
9,7,Robert Carlock,Writer
9,8,Shana Goldberg-Meehan,Writer
9,9,Mark Kunerth,Writer
9,10,Doty Abrams,Writer
9,14,Sherry Bilsing-Graham,Writer
9,14,Ellen Plummer,Writer
9,15,Peter Tibbals,Writer
9,16,Mark Kunerth,Writer
9,22,Andrew Reich,Writer
9,22,Ted Cohen,Writer
9,23,Shana Goldberg-Meehan,Writer
9,23,Scott Silveri,Writer
9,23,Marta Kauffman,Writer
9,23,David Crane,Writer
9,24,Shana Goldberg-Meehan,Writer
